id,high_booking_rate
1045387,0.19336442707429613
1084354,0.35668736858170347
1055823,0.580737184697354
1051844,0.08738887373120115
1144586,0.06428906054204211
1068125,0.3137841678001794
1128225,0.23354301897745414
1177657,0.2094423786347091
1131550,0.7182558287345067
1180505,0.23942173113087473
1171778,0.8186172538328078
1005455,0.0846252743185412
1198483,0.03879335549596632
1183637,0.5373813422177293
1153830,0.6408894230856345
1075680,0.5131526498759416
1097461,0.7939682919071759
1089298,0.2674914118294571
1003587,0.7029265844573557
1073646,0.34019700837109956
1124499,0.49954205407385455
1127600,0.6298497078092861
1019220,0.3782527673637584
1033782,0.2805976872329735
1085415,0.6401294005582324
1009124,0.10908548753920894
1038619,0.03249852710758745
1001734,0.021932975878074884
1005768,0.6818553456634373
1098388,0.03629705816969718
1068665,0.08350458553756986
1200815,0.12388710792245713
1034595,0.03659651552479842
1171158,0.1059610872409341
1184265,0.5034424553261128
1014122,1.2209698596994415e-4
1176258,0.06264395034010253
1043471,0.21412538555459562
1153017,0.33496808211860457
1114723,0.19742964589025147
1067898,0.2247702627737587
1128772,0.7976701591754447
1123825,0.24649653569255645
1013622,0.471046248246338
1001707,0.4936297733779823
1040628,0.2797222128970354
1192228,0.16701877299744014
1105259,0.14531698201311163
1020554,0.07644451391012173
1041017,0.06543031284268959
1087170,0.732805552006808
1107898,0.5285404625433824
1114343,0.1434384816944006
1076846,0.7176554124338246
1026923,0.03503735188116318
1054472,0.19906397736865616
1197937,0.27452966153957753
1078813,0.21001226923482116
1139341,0.7818171399083171
1121578,0.06461509920131023
1197010,0.5902961452986194
1173042,0.8130922886771959
1115525,0.365674158190506
1196660,0.1417226234789144
1097311,0.06550570257574406
1060155,0.32925369359281126
1091173,0.03586467901717477
1132400,0.26273503428860273
1107169,0.023547056624200462
1055166,0.21877250580615737
1166190,0.06833278992975286
1057989,0.028028923922097684
1026910,0.27472558668051
1087711,0.03415992322967967
1164468,0.12598338586697713
1050403,0.4838314318300644
1068754,0.8481875784109731
1159644,0.27630199803745065
1026355,0.04528859229437285
1113062,0.16411740652915416
1151379,0.021237738181261942
1025990,0.16009423629305453
1081355,0.0701658053100365
1019557,0.6383522775877347
1020818,0.49072431873243877
1125084,0.02099547068007905
1183386,0.2962025830913497
1138104,0.09596202312386601
1017145,0.3027641586894321
1122832,0.021930852285250785
1137033,0.758598962349528
1006242,0.25948632197297594
1100515,0.7604903575795954
1080397,4.980561471545164e-4
